noise_label,noise_rate,searcher,dataset,seed,osc,ws,ctrl_gap,trt_gap,delta_gap
high_osc,0.0,random_search,wine,8,0.9,0.1,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,random_search,wine,9,0.9,0.16666666666666666,0.0,-0.046511627906976716,0.046511627906976716
high_osc,0.0,bayesian_opt,breast_cancer,0,0.9,0.03333333333333333,0.013189909079267537,-0.002881290818286586,0.016071199897554123
high_osc,0.0,bayesian_opt,breast_cancer,1,0.9666666666666667,0.1,0.021961838903828967,-0.002881290818286586,0.024843129722115553
high_osc,0.0,bayesian_opt,breast_cancer,2,0.9666666666666667,0.2,0.004417979254706106,-0.02772442054040203,0.032142399795108134
high_osc,0.0,bayesian_opt,breast_cancer,3,0.7333333333333333,0.1,0.02926110897682166,-0.010180560891279278,0.03944166986810094
high_osc,0.0,bayesian_opt,breast_cancer,4,0.9,0.23333333333333334,-0.013125880394416645,-0.002881290818286586,-0.010244589576130059
high_osc,0.0,bayesian_opt,breast_cancer,5,0.9333333333333333,0.16666666666666666,-0.004353950569855214,-0.002881290818286586,-0.001472659751568628
high_osc,0.0,bayesian_opt,breast_cancer,6,1.0,0.1,0.021961838903828967,-0.002881290818286586,0.024843129722115553
high_osc,0.0,bayesian_opt,breast_cancer,7,0.8333333333333334,0.03333333333333333,0.011717249327698798,-0.010180560891279278,0.021897810218978075
high_osc,0.0,bayesian_opt,breast_cancer,8,0.9,0.03333333333333333,0.002945319503137478,-0.002881290818286586,0.005826610321424064
high_osc,0.0,bayesian_opt,breast_cancer,9,0.9333333333333333,0.3333333333333333,-0.004353950569855214,-0.018952490715840598,0.014598540145985384
high_osc,0.0,bayesian_opt,wine,0,0.9666666666666667,0.23333333333333334,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,bayesian_opt,wine,1,0.8333333333333334,0.06666666666666667,0.0,-0.046511627906976716,0.046511627906976716
high_osc,0.0,bayesian_opt,wine,2,0.8,0.16666666666666666,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,bayesian_opt,wine,3,0.8666666666666667,0.2,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,bayesian_opt,wine,4,0.9333333333333333,0.23333333333333334,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,bayesian_opt,wine,5,0.8333333333333334,0.03333333333333333,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,bayesian_opt,wine,6,0.8,0.1,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,bayesian_opt,wine,7,0.8666666666666667,0.2,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,bayesian_opt,wine,8,0.7333333333333333,0.23333333333333334,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,bayesian_opt,wine,9,0.8,0.13333333333333333,0.0,-0.046511627906976716,0.046511627906976716
high_osc,0.0,successive_halving,breast_cancer,0,0.8666666666666667,0.03333333333333333,0.005890639006274845,-0.010180560891279278,0.016071199897554123
high_osc,0.0,successive_halving,breast_cancer,1,0.7333333333333333,0.13333333333333333,0.014662568830836276,-0.002881290818286586,0.01754385964912286
high_osc,0.0,successive_halving,breast_cancer,2,0.9333333333333333,0.06666666666666667,-0.010180560891279278,-0.002881290818286586,-0.007299270072992692
high_osc,0.0,successive_halving,breast_cancer,3,0.9333333333333333,0.1,0.005890639006274845,-0.020425150467409336,0.02631578947368418
high_osc,0.0,successive_halving,breast_cancer,4,0.9,0.16666666666666666,0.004417979254706106,-0.002881290818286586,0.007299270072992692
high_osc,0.0,successive_halving,breast_cancer,5,0.9,0.23333333333333334,-0.010180560891279278,-0.013125880394416645,0.002945319503137367
high_osc,0.0,successive_halving,breast_cancer,6,0.7666666666666667,0.2,0.013189909079267537,-0.018952490715840598,0.032142399795108134
high_osc,0.0,successive_halving,breast_cancer,7,0.9,0.23333333333333334,-0.011653220642847906,-0.010180560891279278,-0.001472659751568628
high_osc,0.0,successive_halving,breast_cancer,8,0.8666666666666667,0.16666666666666666,0.014662568830836276,-0.020425150467409336,0.03508771929824561
high_osc,0.0,successive_halving,breast_cancer,9,0.8,0.1,0.004417979254706106,0.005890639006274845,-0.001472659751568739
high_osc,0.0,successive_halving,wine,0,0.8,0.06666666666666667,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,successive_halving,wine,1,0.9,0.3333333333333333,-0.023255813953488413,-0.046511627906976716,0.023255813953488302
high_osc,0.0,successive_halving,wine,2,0.7,0.1,0.02777777777777779,-0.023255813953488413,0.051033591731266204
high_osc,0.0,successive_halving,wine,3,0.8333333333333334,0.26666666666666666,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,successive_halving,wine,4,0.6,0.2,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,successive_halving,wine,5,0.8,0.16666666666666666,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,successive_halving,wine,6,0.8,0.03333333333333333,0.0,-0.046511627906976716,0.046511627906976716
high_osc,0.0,successive_halving,wine,7,0.8,0.2,0.0,-0.023255813953488413,0.023255813953488413
high_osc,0.0,successive_halving,wine,8,0.9333333333333333,0.13333333333333333,-0.023255813953488413,-0.023255813953488413,0.0
high_osc,0.0,successive_halving,wine,9,0.9666666666666667,0.16666666666666666,-0.046511627906976716,-0.023255813953488413,-0.023255813953488302
